"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","varandas","public","domesticos","telefone",7,"character varying",15,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","data",4,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","visitando",5,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","nome_destinatario",4,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","marca",13,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","endereco",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","descricao_ocorrencia",11,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","autorizou",14,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","vaga",11,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","data_mudanca",2,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","telefone",8,"character varying",15,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","contratante_bloco",13,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","contratante_tipo",11,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","horario_trabalho",12,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","permissoes","permissao",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","bloco",7,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","nome_empresa",7,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","tipo_servico",3,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","observacoes",11,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","usuario","password",3,"character varying",128,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","modelo",14,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","iscar_saindo",9,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","apartamento",5,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","responsavel_apto",4,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","veiculo","placa",2,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","autorizou",10,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","ano",8,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","nome",2,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","cpf_rg_entregador",13,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","nome_morador",2,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","uf",7,"character varying",2,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","uso_escada",11,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","telefone",9,"character varying",15,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","convidados",12,"text",NULL,NULL,NULL,NULL,NULL
